Country,cluster,pc1,pc2
Albania,0,-0.48657113938218416,0.005992972813341937
Algeria,0,-0.29723055345825844,0.022258771597176454
Andorra,0,-0.5029824832470946,0.00397507930036875
Angola,0,-0.4069494046457622,0.014206756033779923
Antigua and Barbuda,0,-0.5045916026499432,0.004033401301606293
Argentina,0,0.027062449316263115,0.05044121648780591
Armenia,0,-0.4881276323741555,0.007417308388237819
Aruba,0,-0.503211506086054,0.004126146624442651
Australia,0,1.0955820141420274,-0.013213816128376117
Austria,0,-0.03677100791583613,-0.010229034354575648
Azerbaijan,0,-0.4444720512625303,0.010197921432325872
Bahamas,0,-0.49410767223989893,0.004592813439334149
Bahrain,0,-0.46453944723085755,0.004166881646188627
Bangladesh,0,-0.08909419444670791,-0.00495946450200556
Barbados,0,-0.5004424576104536,0.004182641403436393
Belarus,0,-0.4391578339583502,0.0014471323547095088
Belgium,0,0.08094630061362316,-0.006356409585478525
Belize,0,-0.5036942109719531,0.0041391150178317505
Benin,0,-0.4886105592807032,0.00404068498821037
Bhutan,0,-0.5036099740678676,0.0038643691004641204
Bolivia,0,-0.464608223664283,0.004086715741989832
Bosnia and Herzegovina,0,-0.4822674834563394,0.004580143688155675
Botswana,0,-0.4883999723724202,0.0035931428480902496
Brazil,0,1.314405033203344,0.11561770160449057
Brunei,0,-0.4921759815499547,0.003835453872431605
Bulgaria,0,-0.41779971827960194,0.009470451829271769
Burkina Faso,0,-0.48654839062617394,0.003916812300667022
Burundi,0,-0.5026193274272249,0.004163822562080969
Cape Verde,0,-0.5041281057757624,0.004035574726131816
Cambodia,0,-0.4672832595695774,0.0048209265311499536
Cameroon,0,-0.4613523737287149,0.003609763840843148
Canada,0,1.480367375615077,0.005127700515455435
Central African Republic,0,-0.5038442514348924,0.0037995622710553134
Chad,0,-0.48947917999939977,0.0037487500504884046
Chile,0,-0.20909203083271125,-0.0010720407138356317
China,1,16.668189172079938,-0.5909031594531143
Colombia,0,-0.17534365955258685,0.01997361519941877
Comoros,0,-0.5050804892024622,0.003867498897833835
Democratic Republic of the Congo,0,-0.4477705462323709,0.005932770476053396
Republic of the Congo,0,-0.4932033410735443,0.003753242185860611
Costa Rica,0,-0.4335316420421677,0.00945109372571994
Ivory Coast,0,-0.4341232753291223,0.0044699933015068345
Croatia,0,-0.434221471103489,0.008590469851879117
Cyprus,0,-0.4760462630766437,0.004441300438539733
Czech Republic,0,-0.21062311642952103,0.010223901440349232
Denmark,0,-0.1177845954418525,-0.012269051888043359
Djibouti,0,-0.5028121178800925,0.003971405714426642
Dominica,0,-0.5057610358125552,0.003924580818082584
Dominican Republic,0,-0.4039644688598996,0.011263309539880998
Ecuador,0,-0.3975910324454484,0.003622369715124046
Egypt,0,-0.10519618372929006,-0.03212155213901647
El Salvador,0,-0.4763907661744556,0.0047998666958346155
Equatorial Guinea,0,-0.49458723324225007,0.0036130939162524276
Estonia,0,-0.46933888046984384,0.0040820651938967955
Eswatini,0,-0.5017586313719097,0.0037991248283121954
Ethiopia,0,-0.3877207916224321,0.016209499187990802
Fiji,0,-0.501494986551696,0.004092161987183084
Finland,0,-0.2265208925595824,-0.01338011181454224
France,0,2.3330330532186454,-0.10839165433121851
Gabon,0,-0.48776315851472263,0.003729910437358947
Gambia,0,-0.5042413027419688,0.003962342674213597
Georgia,0,-0.482665877030469,0.00839849258383561
Germany,0,3.694320795237698,-0.16000061430317603
Ghana,0,-0.4312442620804242,0.0004519855465500146
Greece,0,-0.2880453992049681,0.005160985195362046
Grenada,0,-0.5051620355258013,0.003931472347864706
Guatemala,0,-0.4144292401525592,0.007849836516401571
Guinea,0,-0.4874965216211259,0.006304096622132708
Guinea-Bissau,0,-0.5045772342954439,0.003962613984962914
Guyana,0,-0.49330637485899237,0.009125491814426933
Haiti,0,-0.4869030789443303,0.004644796642343404
Honduras,0,-0.4768270986980168,0.005850639079133768
Hong Kong,0,-0.144999314459222,-0.010208277414307323
Hungary,0,-0.3216181887476323,0.008361153259514888
Iceland,0,-0.47921895877810455,0.0054841435376277725
India,0,2.7199672867548803,0.10753689321060857
Indonesia,0,0.7173966864894757,0.017764930755002906
Iran,0,-0.19428887101093262,0.04335691946951429
Iraq,0,-0.2699316389830398,0.020219788449633194
Ireland,0,0.005364968882544894,-0.002610048501589335
Israel,0,-0.026949383263737848,-0.001031572656330216
Italy,0,1.6000103928599807,-0.047884839036654615
Jamaica,0,-0.4899813836753591,0.004897392974277157
Japan,0,3.938528896532323,-0.7824836176217485
Jordan,0,-0.4591561039555382,0.003167494657099823
Kazakhstan,0,-0.2875459745708085,0.024459334898964805
Kenya,0,-0.39856344423760814,-0.0003987302800833581
Kiribati,0,-0.5060777404880631,0.0039060520726118026
South Korea,0,1.284667302867354,-0.1424769818167825
Kosovo,0,-0.49705667010470544,0.004092790018881903
Kuwait,0,-0.35877055587567225,0.0066175483050002586
Kyrgyzstan,0,-0.4944494597983591,0.006224582640166522
Laos,0,-0.490026524600268,0.0011715560467172972
Latvia,0,-0.4684900461626988,0.003817270329613988
Lebanon,0,-0.4827379733499166,0.003716423538837645
Lesotho,0,-0.5041370996811564,0.0037240113173149392
Liberia,0,-0.5025513299449158,0.0041780273563177565
Libya,0,-0.46498725548474845,0.0014622524399691276
Lithuania,0,-0.4369535292806021,0.006826918860398041
Luxembourg,0,-0.42462355644709004,0.0014518035331901465
Macau,0,-0.472506349144693,0.009057010723123001
Madagascar,0,-0.49164310631486524,0.0040031757410558845
Malawi,0,-0.4942489746240911,0.0030547111485832758
Malaysia,0,-0.13086542492779693,-0.0023404409220985256
Maldives,0,-0.5008512508476058,0.00447997898465118
Mali,0,-0.4869817041432513,0.003822638970777507
Malta,0,-0.48669514912776823,0.004483589341479848
Marshall Islands,0,-0.5060921512319472,0.003896470071432323
Mauritania,0,-0.49695774753785865,0.003926519889639243
Mauritius,0,-0.49380636158456026,0.004218157458083474
Mexico,0,0.9421049475070614,0.14095122082961356
Federated States of Micronesia,0,-0.505937590563551,0.00390805165435119
Moldova,0,-0.49199842681965816,0.004792865317386884
Mongolia,0,-0.4891673706619504,0.005811122978482924
Montenegro,0,-0.5001192939286501,0.004439264190679758
Morocco,0,-0.3718589401048674,0.000289656048397137
Mozambique,0,-0.48861891285174364,0.0051675253848783315
Myanmar,0,-0.4460733686813363,-0.001273619066242263
Namibia,0,-0.4944613845489347,0.0035601990361684805
Nauru,0,-0.5061949497461461,0.0038989628179702225
Nepal,0,-0.46845290896469277,0.003951391476959435
Netherlands,0,0.5414357271220093,0.0010770882543831206
New Zealand,0,-0.2704558763162475,-0.004756405913265342
Nicaragua,0,-0.490933682057042,0.004931625348243624
Niger,0,-0.4907441302372538,0.004378365051635143
Nigeria,0,-0.12953181103043113,-0.09597555064952562
North Macedonia,0,-0.4922721616636476,0.00402324805398675
Norway,0,-0.03575590296250023,-0.008750324808850202
Oman,0,-0.4126814990058812,0.0075387752843334
Pakistan,0,-0.17001690277735443,-0.008107144369565989
Palau,0,-0.5060863967156004,0.003906267226066049
Panama,0,-0.43476911480713354,0.008165726829627651
Papua New Guinea,0,-0.4785277764532944,0.00446469017237367
Paraguay,0,-0.46674123372546183,0.0032079809391952967
Peru,0,-0.26824211049258034,0.011179386951487255
Philippines,0,-0.10774488021581449,0.0016715196702250126
Poland,0,0.20837843574982218,0.03519490920500047
Portugal,0,-0.2471088854839297,0.006347561861084001
Puerto Rico,0,-0.39729114125166626,0.001337076216332415
Qatar,0,-0.31510942239537093,0.014041511291626597
Romania,0,-0.20388695738020118,0.020618193230114455
Russia,0,1.3886185931022732,0.06213681737379911
Rwanda,0,-0.49417562989062075,0.004511021185017053
Samoa,0,-0.5054603446691138,0.0038984004318527382
San Marino,0,-0.5045457009262135,0.0039007325715561393
São Tomé and Príncipe,0,-0.5057615487071784,0.00396207861475268
Saudi Arabia,0,0.43104326027110357,0.051034243320705684
Senegal,0,-0.47862110325356266,0.004052540201221506
Serbia,0,-0.43734167811551716,0.008506038476317793
Seychelles,0,-0.5045687735896122,0.00408892517624967
Sierra Leone,0,-0.4995274409696237,0.003433453674919735
Singapore,0,-0.054799124660141314,0.026948262904769097
Slovakia,0,-0.3867709883782019,0.003401889381475491
Slovenia,0,-0.445181748380278,0.0044132132693284875
Solomon Islands,0,-0.5047771868722619,0.0038618166089749153
Somalia,0,-0.49641834133423435,0.004184743080044976
South Africa,0,-0.12835602026190243,-0.021557378653240884
South Sudan,0,-0.5001313897201634,0.003703943564905999
Spain,0,0.9518263787744081,0.008369420524341462
Sri Lanka,0,-0.4226363518726216,-0.0011674102879355816
Saint Kitts and Nevis,0,-0.5053957579352022,0.003925156189646857
Saint Lucia,0,-0.5042989449226475,0.004093294401531962
Saint Vincent and the Grenadines,0,-0.5053860270303444,0.003934404043922954
Sudan,0,-0.4732073115011162,-0.00022418938967249508
Suriname,0,-0.5029651022393256,0.004078034569433889
Sweden,0,0.06922371246476602,-0.041514022301891065
Switzerland,0,0.3101403737506998,-0.004617559692473554
Taiwan,0,0.22398313240612705,-0.03716807359899257
Tajikistan,0,-0.4961798536920574,0.004897325271519176
Tanzania,0,-0.43574972733496065,0.004147022707134009
Thailand,0,-0.010551573365824995,-0.02991393121633116
Timor-Leste,0,-0.5037817367731292,0.0033562587164235476
Togo,0,-0.49807479622706213,0.0038838774395786937
Tonga,0,-0.5058391461453923,0.0038738119512815505
Trinidad and Tobago,0,-0.482188092058615,0.003364625687932989
Tunisia,0,-0.4606800604756215,0.0027269383814840804
Turkey,0,0.4279208387318241,0.12661905689460679
Turkmenistan,0,-0.4387722061042792,0.008975428021092345
Tuvalu,0,-0.5062847385610001,0.003907044244699094
Uganda,0,-0.46081941661487946,0.006191227164294196
Ukraine,0,-0.33394869890215795,-0.00856301422341554
United Arab Emirates,0,-0.06043850418342029,0.031139958161806057
United Kingdom,0,2.584076297174779,0.000695457673973846
United States,1,24.200209559664454,0.5622725921920947
Uruguay,0,-0.44019179912296585,0.00816956367082778
Uzbekistan,0,-0.41979679406938075,0.012881427055065332
Vanuatu,0,-0.5053036144393677,0.003918593648222779
Venezuela,0,-0.4287650859584979,0.02469209559427539
Vietnam,0,-0.11592705753137447,0.010525471956836778
Yemen,0,-0.48649544722916016,0.002232531835932989
Zambia,0,-0.4826135807184909,0.005087160577323189
Zimbabwe,0,-0.4742392521497164,0.002746657032221153
